agno	rbd	nombre_establecimiento	nombre_comuna	numero_region	dependencia	area_geografica	financiamiento	psu_lenguaje	psu_matematica	ive_media
2011	10484	COLEGIO CORDILLERA	PUENTE ALTO	13	Particular Subvencionado	URBANO	513492082	482	481	57.2784810126
2011	10487	COLEGIO POLIVALENTE DOMINGO MATTE MESIAS	PUENTE ALTO	13	Particular Subvencionado	URBANO	2043470636	525	521	45.4237288135
2011	10489	LICEO NUESTRA SENORA DE LAS MERCEDES	PUENTE ALTO	13	Particular Subvencionado	URBANO	497831420	488	479	51.9867549668
2011	10492	COLEGIO CRISTIANO BELEN	PUENTE ALTO	13	Particular Subvencionado	URBANO	230434680	454	424	70.37037037029999
2011	10493	COLEGIO SAN LUIS DE GONZAGA II	PUENTE ALTO	13	Particular Subvencionado	URBANO	337623524	482	473	67.00201207240001
2011	10496	ESCUELA INDUSTRIAL LAS NIEVES	PUENTE ALTO	13	Particular Subvencionado	URBANO	677118316	455	457	61.4349775784
2011	10500	COLEGIO POLIV. EL ALBORADA	PUENTE ALTO	13	Particular Subvencionado	RURAL	860137205	462	452	63.2098765432
2011	10501	COLEGIO POLIV. PROFESOR ILDEFONSO CALDERON	PUENTE ALTO	13	Particular Subvencionado	RURAL	512440506	466	441	74.6006389776
2011	10503	COLEGIO EDUC.PART. COMP.DE MARIA P. ALTO	PUENTE ALTO	13	Particular Subvencionado	RURAL	687031128	472	447	52.7777777777
2011	10505	LICEO POLIVALENTE MARIA REINA	PUENTE ALTO	13	Particular Subvencionado	RURAL	682666772	449	425	59.7484276729
2011	10506	COLEGIO SENDA DEL SABER	PUENTE ALTO	13	Particular Subvencionado	URBANO	823912271	487	502	60.7142857142
2011	10507	ESCUELA TECNICA LAS NIEVES	PUENTE ALTO	13	Particular Subvencionado	URBANO	593071911	459	449	63.9365918097
2011	10512	COLEGIO LOS AROMOS	PUENTE ALTO	13	Particular Subvencionado	URBANO	237927716	579	592	37.8151260504
2011	10513	COLEGIO PARTICULAR NIDAL	PUENTE ALTO	13	Particular Subvencionado	URBANO	98141170	457	445	77.6315789473
2011	10515	ESCUELA DOMINGO FAUSTINO SARMIENTO	PUENTE ALTO	13	Particular Subvencionado	URBANO	522846000	423	427	60.3603603603
2011	10516	LICEO MUNIC. TEC. PROF. EL LLANO	PIRQUE	13	Municipal	URBANO	512971046	439	424	74.4027303754
